Team OFFRTG DEFRTG PACE OREB% DREB% FGA/PLAY 3PA/PLAY FTA/PLAY TOV/PLAY H2P% H3P% HFT% A2P% A3P% AFT% OH2P% OH3P% OA2P% OA3P% STL/PLAY BLK/PLAY PF/PLAY PFD/PLAY PTSoTOV/PLAY OPTSoTOV/PLAY TIMEaMake TIMEaReb TIMEaTOV OTIMEaMake OTIMEaReb OTIMEaTOV OREB/Game 2NDPTS
ATL 115.5 115.4 101.56 28.9 71.7 0.791 0.262 0.193 0.111 54.6 35.2 81.9 54.6 35.2 81.0 56.7 34.6 55.9 37.4 0.061 0.042 0.161 0.168 1.34 1.22 16.3 10.7 8.2 17.2 10.9 8.5 11.4 14.3
BOS 117.3 110.6 099.15 25.5 74.6 0.789 0.378 0.192 0.119 58.0 37.9 81.3 55.2 37.8 81.3 53.6 32.7 52.3 36.7 0.056 0.047 0.167 0.170 1.31 1.22 17.2 10.9 8.6 17.5 11.4 8.1 9.6 12.7
BKN 114.6 113.5 098.77 23.4 68.9 0.778 0.309 0.202 0.126 55.3 37.8 80.0 56.3 37.4 79.5 51.6 35.0 51.6 38.6 0.065 0.056 0.193 0.169 1.29 1.30 17.6 11.2 8.1 17.1 11.2 8.1 8.1 11.0
CHA 108.4 114.7 101.47 27.6 71.7 0.778 0.280 0.203 0.122 51.9 33.9 74.7 53.6 32.1 75.0 54.5 34.5 55.5 36.8 0.067 0.045 0.174 0.175 1.33 1.21 16.9 10.6 7.3 17.0 11.1 8.5 11.0 14.2
CHI 112.8 111.5 099.18 23.6 73.6 0.782 0.260 0.197 0.121 55.8 36.5 82.9 55.2 35.3 78.8 54.5 35.3 55.0 36.1 0.071 0.041 0.170 0.169 1.34 1.28 16.8 11.0 8.1 17.7 11.4 8.6 8.4 10.6
CLE 115.5 109.9 096.27 27.3 71.5 0.779 0.289 0.206 0.122 56.7 36.7 77.5 54.9 36.2 78.3 51.3 35.0 53.5 37.8 0.065 0.043 0.174 0.187 1.37 1.31 18.2 11.3 8.8 17.4 11.1 8.8 9.7 12.5
DAL 115.9 116.1 097.21 22.6 71.7 0.773 0.376 0.230 0.112 57.6 36.5 75.1 57.3 37.6 76.0 56.4 33.9 56.0 36.4 0.057 0.034 0.190 0.200 1.22 1.30 17.7 11.8 9.7 17.2 11.2 8.1 7.6 10.9
DEN 116.8 113.5 098.74 28.9 72.7 0.771 0.278 0.199 0.130 57.6 39.1 74.2 56.7 36.5 77.9 54.4 32.2 56.9 36.6 0.067 0.040 0.166 0.174 1.24 1.26 17.7 10.9 7.8 17.1 11.2 8.1 10.2 13.0
DET 109.9 117.8 099.88 29.2 70.2 0.758 0.282 0.224 0.131 52.6 36.3 76.5 50.6 34.0 77.7 55.9 37.4 57.6 34.7 0.061 0.033 0.193 0.182 1.34 1.29 17.1 11.5 8.3 17.0 10.9 8.1 11.2 14.9
GSW 115.1 113.4 102.54 27.7 71.9 0.772 0.370 0.173 0.140 55.4 39.0 76.9 56.7 36.8 80.7 52.6 32.9 54.4 38.8 0.061 0.034 0.183 0.158 1.30 1.25 16.2 11.0 8.4 16.8 11.0 8.2 10.8 13.6
HOU 110.5 118.6 099.74 34.4 72.9 0.757 0.272 0.216 0.138 53.0 32.8 75.7 52.9 32.5 75.1 54.8 35.6 58.6 39.1 0.062 0.039 0.174 0.176 1.26 1.42 17.5 11.9 8.0 16.5 11.1 7.6 13.4 16.7
IND 113.8 117.1 101.68 28.5 68.5 0.772 0.318 0.204 0.129 55.0 36.8 79.7 53.1 36.6 78.2 55.4 37.4 54.8 37.1 0.066 0.050 0.183 0.174 1.28 1.34 16.2 10.4 7.8 17.3 11.2 8.0 10.1 13.7
LAC 114.0 113.6 098.84 27.3 73.1 0.766 0.297 0.213 0.127 54.3 38.3 77.0 53.2 37.7 79.7 53.8 36.1 54.3 37.3 0.063 0.039 0.173 0.174 1.30 1.41 17.8 10.9 8.5 17.2 11.0 8.1 9.9 11.8
LAL 113.9 113.2 101.92 26.9 72.7 0.768 0.269 0.230 0.121 55.3 35.3 77.0 55.3 33.4 78.7 52.7 32.9 55.4 35.7 0.055 0.040 0.154 0.185 1.21 1.34 17.0 10.5 7.8 16.9 10.8 7.7 9.9 13.5
MEM 114.7 110.7 101.50 30.2 71.7 0.786 0.292 0.203 0.116 56.1 35.2 74.5 52.4 34.4 73.3 51.4 33.4 53.4 37.0 0.071 0.049 0.171 0.171 1.27 1.30 16.8 10.7 8.0 17.0 11.2 8.2 12.1 15.3
MIA 112.3 112.8 096.76 27.4 73.3 0.772 0.315 0.208 0.122 53.5 35.7 85.3 54.2 33.7 80.0 56.4 36.4 56.9 35.9 0.072 0.027 0.167 0.182 1.26 1.28 17.7 11.8 9.2 17.6 11.0 8.4 9.6 12.9
MIL 114.3 110.9 101.45 28.4 74.5 0.776 0.346 0.192 0.126 56.3 37.6 74.4 55.1 36.1 73.7 51.2 37.0 52.1 34.8 0.055 0.042 0.155 0.163 1.25 1.18 17.0 10.8 8.4 16.9 10.9 8.7 11.1 14.3
MIN 113.3 113.1 101.55 25.8 70.3 0.765 0.291 0.207 0.134 56.6 35.7 77.6 56.4 37.3 74.1 51.7 37.7 54.3 36.2 0.070 0.047 0.189 0.176 1.26 1.24 16.6 10.8 8.4 17.0 11.2 8.3 9.0 12.3
NOP 113.8 112.0 099.58 29.0 73.2 0.767 0.264 0.214 0.128 54.4 37.4 79.6 53.9 35.3 79.0 56.0 33.7 57.4 34.1 0.073 0.036 0.179 0.179 1.28 1.30 17.0 11.0 7.9 17.5 10.9 8.4 10.6 13.8
NYK 117.0 114.2 097.75 31.8 72.7 0.777 0.311 0.221 0.113 55.8 35.3 75.7 53.2 34.2 76.2 54.2 34.3 52.9 36.1 0.056 0.036 0.177 0.180 1.26 1.35 18.2 11.5 8.2 16.8 11.2 7.4 12.6 16.2
OKC 114.2 113.2 101.94 28.9 69.3 0.788 0.290 0.202 0.111 54.5 36.9 78.9 51.2 34.2 83.2 55.7 36.0 55.1 35.7 0.070 0.035 0.179 0.174 1.32 1.19 16.1 10.8 7.6 17.1 11.3 8.8 11.4 13.9
ORL 111.3 113.7 099.66 28.1 73.0 0.761 0.274 0.220 0.133 54.8 36.6 78.6 53.1 32.7 78.1 57.0 35.5 56.5 34.8 0.065 0.041 0.178 0.181 1.31 1.28 16.9 11.2 8.3 17.4 11.0 8.7 10.2 14.2
PHI 117.0 112.7 097.44 25.8 72.1 0.762 0.297 0.228 0.124 53.2 38.7 84.5 55.6 38.0 83.5 54.1 34.8 56.0 35.2 0.070 0.043 0.186 0.178 1.31 1.37 18.1 11.6 8.7 17.3 10.7 7.7 8.9 11.3
PHO 114.5 112.3 098.83 30.7 71.4 0.788 0.285 0.190 0.118 52.5 38.5 79.2 52.3 36.1 79.5 52.1 35.4 54.3 36.2 0.062 0.046 0.186 0.174 1.31 1.30 17.0 11.6 9.0 17.3 10.9 8.2 11.5 14.8
