q 6:00 ot 4:00
Connor Jacob
q1 5:47 0-3
q1 5:35 2-3
q1 5:08 2-6
q1 4:57 4-6
q1 4:25 6-6
q1 4:03 9-6
q1 3:48 9-9
q1 3:28 12-9
q1 3:09 15-9
q1 2:43 17-9
q1 2:29 17-12
q1 2:17 19-12
q1 1:59 19-15
q1 1:31 19-17
q1 1:15 19-19
q1 1:02 21-19
q1 0:42 23-19
q1 0:26 23-21
q2 5:33 25-21
q2 5:07 27-21
q2 4:36 27-23
q2 4:12 27-24
q2 4:04 29-24
q2 3:25 32-24
q2 3:12 32-26
q2 3:00 34-26
q2 2:12 34-28
q2 2:00 36-28
q2 1:39 36-30
q2 1:27 38-30
q2 1:19 38-33
q2 0:31 38-35
q3 5:15 40-35
q3 4:58 42-35
q3 4:24 42-37
q3 4:02 44-37
q3 3:51 44-39
q3 2:40 44-42
q3 2:25 44-44
q3 2:16 47-44
q3 1:48 49-44
q3 1:14 49-46
q3 0:40 52-46
q3 0:03 52-48
q4 5:48 52-51
q4 4:52 52-54
q4 4:38 54-54
q4 3:48 54-57
q4 3:32 56-57
q4 2:43 56-60
q4 2:00 58-60
q4 1:12 60-60
q4 0:57 60-63
q4 0:45 63-63
ot1 3:38 63-66
ot1 3:23 65-66
ot1 2:52 67-66
ot1 2:21 67-68
ot1 1:27 69-68
ot1 1:16 69-71
ot1 0:34 71-71
ot2 3:08 73-71
ot2 2:57 73-74
ot2 1:51 73-77
ot2 1:21 75-77
ot2 0:35 75-79
ot2 0:22 75-81
